permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
3guppies,3Guppies,,Music,20000000,operating,USA,WA,Seattle,Seattle,1,2003-01-01,2006-04-05,2006-04-05
3gv8-international-inc,3GV8 International Inc,http://www.v8.cn,Mobile,746185,operating,CHN,22,Beijing,Beijing,2,2005-07-01,2006-03-01,2007-02-01
3i-systems,3i Systems,http://www.3i-systems.com,Semiconductors,13708150,closed,CHN,5,Guangdong,Guangdong,3,2006-11-01,2007-08-20,2010-03-01
3is,3IS,http://www.3isinc.com/,,-,operating,,,,,1,,2008-05-02,2008-05-02
3jam,3Jam,http://3jam.com,Messaging@@SMS,4000000,operating,USA,CA,SF Bay Area,San Francisco,1,2005-01-01,2007-07-01,2007-07-01
3keyit,3KeyIt,http://www.long-associates.biz/,Software,-,operating,USA,AR,Fayetteville,Fayetteville,1,2007-02-01,2009-09-17,2009-09-17
3leaf,3Leaf,http://www.3leafsystems.com,Web Hosting,65000000,acquired,USA,CA,SF Bay Area,Santa Clara,3,2004-06-01,2005-01-01,2008-09-22
3lm,3LM,http://www.3lm.com,Android@@Enterprises@@Mobile,1500000,acquired,,,,,1,2010-07-01,2010-07-01,2010-07-01
3nder,3nder,http://www.3nderapp.com,iOS@@Location Based Services@@Mobile@@Online Dating@@Social Media,500000,operating,GBR,H9,London,London,2,2014-02-18,2014-05-09,2015-10-18
3p-biopharmaceuticals,3P Biopharmaceuticals,http://www.3pbio.com,Biotechnology@@Pharmaceuticals,4783500,operating,ESP,32,,,2,,2007-06-29,2008-02-05
3par,3PAR,http://www.3par.com,Cloud Data Services@@Services@@Software,148000000,acquired,USA,CA,SF Bay Area,Fremont,3,1999-01-01,2000-05-01,2004-02-10
3pillar-global,3Pillar Global,http://www.3pillarglobal.com,Consulting@@Software,25920000,operating,USA,VA,"Washington, D.C.",Fairfax,4,2006-08-01,2010-01-29,2013-06-06
3pl-central,3PL Central,http://3plcentral.com/,,17500000,operating,USA,CA,Los Angeles,Manhattan Beach,1,2006-01-01,2015-12-03,2015-12-03
3play-media,3Play Media,http://www.3playmedia.com,Software,1011601,operating,USA,MA,Boston,Cambridge,3,2007-01-01,2010-02-08,2011-10-21
3point5-com,3point5.com,http://www.3point5.com,Curated Web,1500000,operating,USA,UT,Salt Lake City,Salt Lake City,1,,2006-10-09,2006-10-09
3pointdata,3PointData,http://3pointdata.com,,-,operating,,,,,1,2008-01-01,2010-09-03,2010-09-03
3power-energy-group,3POWER ENERGY GROUP,http://www.3powerenergy.com,Clean Technology,50000000,operating,GBR,K4,Plymouth,Plymouth,1,,2011-03-11,2011-03-11
3rd-planet,3rd Planet,http://www.3rdplanet.com,Curated Web@@Tourism@@Travel,1500000,operating,CHN,,,,2,2010-05-23,2011-02-10,2012-05-01
3rdkind,3rdKind,http://3rdkind-inc.com,Game,1000000,operating,JPN,40,Tokyo,Tokyo,1,,2014-07-29,2014-07-29
3roam,3ROAM,http://www.3roam.com,Mobile,1394250,operating,FRA,B8,Nice,Mougins,1,2005-01-01,2008-11-14,2008-11-14
3scale,3scale,http://www.3scale.net,Developer APIs@@Enterprise Software@@Infrastructure@@Services@@Software,5000000,operating,USA,CA,SF Bay Area,San Francisco,2,2007-12-01,2010-04-20,2013-04-24
3scan,3Scan,http://www.3scan.com,Biotechnology,7063012,operating,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-08-31,2014-12-05
3seventy,3seventy,http://www.3seventy.com,App Marketing@@Software,2000000,operating,USA,TX,Austin,Austin,1,2008-01-01,2011-08-19,2011-08-19
3si-security-systems,3SI Security Systems,https://www.3sisecurity.com/,Physical Security@@Security,13000000,operating,USA,PA,Philadelphia,Malvern,1,1971-01-01,2002-07-29,2002-07-29
3sourcing,3Sourcing,http://www.3sourcing.com,Consulting@@Freelancers@@Human Resources@@Recruiting@@Search@@Social Commerce,-,operating,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2013-10-29,2014-05-01
3sp-group,3SP Group,http://www.3spgroup.com,Manufacturing,13780000,operating,FRA,A6,,,1,,2009-05-20,2009-05-20
3sun,3sun,http://3sungroup.com,Clean Technology,15152514,operating,GBR,I9,,,1,2007-01-01,2014-03-03,2014-03-03
3ten8,3TEN8,http://www.3ten8.com/,Software,1670000,operating,USA,CA,SF Bay Area,Santa Clara,1,2013-08-15,2015-04-15,2015-04-15
3tier-environmental-forecast-group,3TIER,http://www.3tier.com/en,Clean Technology,15000000,acquired,USA,WA,Seattle,Seattle,3,1999-01-01,2007-09-05,2010-02-25
3touch,3Touch,http://www.3touch.com,Software,272000,closed,IRL,29,IRL - Other,Athlone,1,2003-01-01,2007-05-01,2007-05-01
3v-transaction-services,3V Transaction Services,http://www.3vcorporate.com,Coupons@@Online Shopping@@Payments@@Retail Technology,50958896.6114209,acquired,IRL,7,Blackrock,Blackrock,2,2004-01-01,2006-10-31,2013-03-01
3vr-security,3VR,http://www.3vr.com,Security,64567194,operating,USA,CA,SF Bay Area,San Francisco,7,2002-01-01,2006-01-17,2015-01-13
3ware,3ware,http://www.3ware.com/,Databases@@Electronics@@Storage,26000000,acquired,USA,CA,SF Bay Area,Sunnyvale,1,,2003-02-11,2003-02-11
3x-systems,3X Systems,http://www.3x.com,Flash Storage@@Security,3393925,operating,USA,OH,"Columbus, Ohio",Columbus,2,2007-11-01,2008-02-20,2010-05-26
3yy-game-platform,3yy game platform,http://www.3yy.com,Games@@Video,163934,operating,CHN,12,CHN - Other,Tianhe,1,,2013-12-01,2013-12-01
4-33-creative-lab,4:33 Creative Lab,http://433.co.kr,Design@@Game@@Mobile Games,100000000,operating,KOR,11,Seoul,Seoul,1,,2014-11-13,2014-11-13
4-animals-alsterscience-gmbh,4 Animals AlsterScience GmbH,http://alsterscience.com/,Animal Feed@@Medical@@Specialty Foods,-,operating,DEU,4,Hamburg,Hamburg,1,,2014-10-10,2014-10-10
4-antibody-ag,4-Antibody AG,,,13660000,operating,,,,,1,,2007-01-16,2007-01-16
4-cast-broadcasting-corporation,4 Cast Broadcasting Corporation,http://4cast.tv/,Mobile@@Wireless,-,operating,USA,CO,CO - Other,Yellow Jacket,1,2013-05-06,2015-09-03,2015-09-03
4-tell,4-Tell,http://4-tell.com,E-Commerce,2374979,operating,USA,WA,WA - Other,Stevenson,6,2009-04-01,2011-07-01,2015-03-09
4-the-stars,4 the stars,http://www.4thestars.com/,Networking@@Web Hosting,1000,operating,BWA,9,BWA - Other,Ramotswa,1,2013-07-12,2014-05-14,2014-05-14
40-partners-ltd,40 Partners Ltd,http://www.40partners.com/,Creative Industries@@Entertainment@@Television,228187.783333164,operating,GBR,H9,London,London,1,,2013-07-01,2013-07-01
404-found,404 Found!,,Enterprise Software,6246800,operating,,,,,2,1997-01-01,1999-07-01,2000-07-01
405labs,405Labs,http://www.405labs.com/,Machine Learning@@Network Security,81000,operating,USA,CA,San Diego,San Diego,1,2014-01-01,2014-10-22,2014-10-22
40billion-com,40billion.com,http://www.40Billion.com,Crowdfunding@@Entrepreneur@@Finance@@FinTech@@Networking@@Peer-to-Peer@@Social Media@@Venture Capital,1050000,operating,USA,GA,Atlanta,Atlanta,3,2008-01-23,2008-04-01,2010-06-01
410-labs,410 Labs,http://410labs.com,Messaging,750000,operating,USA,MD,Baltimore,Baltimore,1,2010-01-01,2011-07-11,2011-07-11
41st-parameter,41st Parameter,http://www.the41st.com,Security,38064570,acquired,USA,CA,SF Bay Area,San Jose,4,2004-01-01,2006-05-08,2012-04-11
42,42,http://www.42technologies.com,Enterprise Software,-,operating,USA,CA,SF Bay Area,San Francisco,2,2013-01-01,2013-02-21,2014-05-16
422-group,422 Group,,Software,1000000,operating,USA,GA,Atlanta,Tucker,1,2004-01-01,2010-06-15,2010-06-15
425-307-3480,Loctronix,http://www.loctronix.com,Software,1000000,operating,USA,WA,Seattle,Woodinville,1,2006-01-01,2013-01-17,2013-01-17
42floors,42Floors,http://42floors.com,Commercial Real Estate@@Real Estate,17400000,operating,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-09-01,2013-01-31
42matters-ag,42matters AG,http://42matters.com,Advertising@@Android@@Curated Web@@Mobile@@Promotional,-,operating,CHE,25,Zurich,Zürich,2,2011-05-24,2011-09-12,2014-02-09
42networks,42Networks,http://www.42networks.com,Web Hosting,2258720,acquired,SWE,26,Stockholm,Kista,1,,2006-02-13,2006-02-13
42race,42Race,http://www.42race.sg,Online Travel@@Sports@@Travel,500000,closed,,,,,1,2015-05-01,2015-06-01,2015-06-01
43things,CAD CAD Design Services,http://www.thebegetter.com,Business Services@@Product Design,-,operating,USA,WA,Seattle,Seattle,1,2004-08-15,2004-11-01,2004-11-01
447-461-broadway-partners,447-461 Broadway Partners,http://www.lionandfoster.com/,Real Estate,-,operating,USA,CA,SF Bay Area,Corte Madera,1,,2014-04-01,2014-04-01
44lab5,44LAB5,http://44lab5.com,Creative@@Creative Industries@@Databases,450000,operating,USA,MD,MD - Other,La Plata,1,2015-01-05,2015-05-31,2015-05-31
46elks,46elks,http://www.46elks.com,Internet@@Telecommunications,485841.245076705,operating,SWE,21,Stockholm,Uppsala,2,2011-04-01,2012-08-24,2014-10-02
480-biomedical,480 Biomedical,http://www.480biomedical.com,Biotechnology,49656999,operating,USA,MA,Boston,Watertown,5,2011-01-01,2012-02-14,2015-06-19
48domain,48domain,http://www.48domain.com,Web Design,-,operating,USA,GA,Atlanta,Douglasville,1,2014-06-12,2014-06-28,2014-06-28
490-entertainment,490 Entertainment,,Entertainment@@Games,450000,operating,USA,NY,Long Island,Smithtown,1,1991-05-01,2014-08-15,2014-08-15
4blox,4Blox,http://www.4blox.com,Software,-,closed,USA,CA,SF Bay Area,San Jose,1,2006-08-01,2007-09-10,2007-09-10
4c-insights,4C,http://www.4cinsights.com,Analytics,-,operating,USA,IL,Chicago,Chicago,1,2011-01-01,2014-01-21,2014-01-21
4cable-tv,4Cable TV,http://4cable.tv,Clean Technology,20900,operating,USA,SC,Myrtle Beach,Conway,1,2005-01-01,2013-10-07,2013-10-07
4d-energetics,4D Energetics,http://4denergetics.com,Clean Technology@@Enterprise Software,1160000,operating,USA,CA,SF Bay Area,Menlo Park,2,,2012-09-01,2014-02-18
4d-molecular-therapeutics,4D Molecular Therapeutics,http://www.4dmoleculartherapeutics.com,Biotechnology,6999995,operating,USA,CA,SF Bay Area,Emeryville,1,2013-01-01,2015-08-13,2015-08-13
4deep,4Deep,http://4-deep.com/,Biotechnology,500000,operating,CAN,NS,Halifax,Halifax,1,2008-01-01,2015-11-20,2015-11-20
4dk-technologies,4DK Technologies,http://4dk.com,Mobile,3378975,acquired,USA,VA,"Washington, D.C.",Herndon,1,2005-01-01,2011-12-12,2011-12-12
4energy,4energy,,,-,operating,,,,,1,,2011-04-11,2011-04-11
4front-partners,4FRONT PARTNERS,,Anything Capital Intensive@@Investment Management@@Venture Capital,22000,operating,USA,FL,Sarasota - Bradenton,Sarasota,1,,2014-02-11,2014-02-11
4front-security,4Front Security,http://www.4frontsecurity.com,,-,closed,,,,,1,,2005-05-26,2005-05-26
4home,4Home,http://www.4home.com,Automotive@@Clean Energy@@Cloud Computing@@Internet@@Software@@Wireless,9416354,acquired,USA,CA,SF Bay Area,Sunnyvale,6,2006-01-01,2006-08-01,2010-02-03
4info,4INFO,http://www.4info.com,Ad Targeting@@Big Data Analytics@@Mobile Advertising,320288000,operating,USA,CA,SF Bay Area,San Mateo,8,2004-09-08,2005-03-01,2014-08-01
4less,4Less,http://golf4less.com.au,E-Commerce@@Marketplaces,1000000,operating,,,,,1,2012-03-01,2012-03-01,2012-03-01
4med-centra-medyczne,4Med Centra Medyczne,,,-,closed,,,,,1,,2008-01-01,2008-01-01
4meee,4meee,http://4meee.com,E-Commerce,500000,acquired,JPN,40,Tokyo,Tokyo,1,,2014-08-13,2014-08-13
4moms,4moms,http://www.4moms.com,Hardware + Software,60000000,operating,USA,PA,Pittsburgh,Pittsburgh,5,2005-01-01,2005-06-17,2015-09-29
4plat,4PLAT,http://www.4plat.com,Games,892898,operating,,,,,1,,2013-04-19,2013-04-19
4psa,4PSA,http://www.4psa.com,Cloud Computing@@Messaging@@Telephony@@Unifed Communications,6500000,operating,ROM,10,Bucharest,Bucharest,3,2002-02-18,2004-03-01,2013-05-09
4runners-entertainment,4Runners Entertainment,http://www.4runnerspoker.com,Games,100000,operating,GBR,H9,London,London,1,2014-10-08,2014-12-02,2014-12-02
4s91-com,4s91.com,http://yxb.4s91.com/,Mobile,10000000,operating,CHN,30,Guangzhou,Guangzhou,1,2011-03-01,2012-02-01,2012-02-01
4sc,4SC,http://www.4sc.de/,Human Resources@@Recruiting@@Social Recruiting,10511317,operating,DEU,2,DEU - Other,Planegg,1,,2003-05-21,2003-05-21
4scotty-gmbh,4Scotty GmbH,http://www.4scotty.com,Information Technology@@Recruiting@@Services,-,operating,DEU,16,Berlin,Berlin,1,2014-09-01,2015-02-01,2015-02-01
4screens,4screens,http://4screens.net/,,-,operating,,,,,1,,2015-03-10,2015-03-10
4soils,4Soils,http://www.4soils.com,Apps@@Education@@Kids@@Religion,50000,operating,USA,CA,SF Bay Area,Stanford,1,2012-01-01,2013-08-26,2013-08-26
4tech,4Tech,,Biotechnology,7000000,operating,USA,MA,Boston,Waltham,1,2011-01-01,2011-12-21,2011-12-21
4tell-solutions,4tell Solutions,http://www.4tellsolutions.com/,Financial Services@@Information Technology@@Optimization@@Technology,-,operating,,,,,1,,2014-12-04,2014-12-04
4th-aspect,4th aspect,http://www.4thaspect.com,Advertising@@Software,1121078,operating,GBR,N5,Sunderland Bridge,Sunderland Bridge,4,2010-03-10,2011-03-10,2013-08-15
4th-office,4th Office,https://www.4thoffice.com,Office Space,3607956,operating,GBR,,,,1,,2014-12-03,2014-12-03
4thetable,4theTable,http://www.4thetable.com,,500000,operating,,,,,1,2014-06-01,2015-11-11,2015-11-11
4tiitoo,4tiitoo GmbH,http://www.4tiitoo.com,3D Technology@@Augmented Reality@@Computers@@Computer Vision@@Enterprise Software@@Human Computer Interaction@@Mobile@@Predictive Analytics@@Software@@Speech Recognition@@Tablets@@User Experience Design,-,operating,DEU,2,Munich,Munich,3,2013-12-10,2011-11-15,2014-08-18
4urspace,4URSPACE,http://www.4urspace.com,Real Estate@@Retail@@Service Providers,50000,operating,USA,NY,New York City,New York,1,2013-01-24,2015-08-13,2015-08-13
4vets,4vets,http://4vets.com.br,Pets,762500,operating,BRA,2,Sao Paulo,São Paulo,1,2013-08-01,2013-08-29,2013-08-29
4wave,4wave,http://www.4waveinc.com/,Technology,-,operating,USA,VA,Norfolk - Virginia Beach,Virginia Beach,1,,2004-07-27,2004-07-27
4x4-aviation,4x4 Aviation,http://www.4x4aviation.com/,Aerospace,95445,operating,GBR,G5,Kent,Kent,1,2013-01-01,2014-02-01,2014-02-01
5-cups-and-some-sugar,5 CUPS and some sugar,http://5cups.de,Curated Web,385980,operating,,,,,1,2012-01-01,2013-07-23,2013-07-23
5-examples,5 examples,http://5examples.com,Software,250000,operating,USA,NC,Raleigh,Morrisville,1,2004-01-01,2010-07-14,2010-07-14
5-million-shoppers,5 Million Shoppers,http://5mshoppers.com/,Internet@@Mobile,15000,operating,USA,TX,Dallas,Dallas,1,,2014-08-07,2014-08-07
5-minutes,5 Minutes,,Games,3500000,operating,CHN,23,Shanghai,Shanghai,1,,2009-12-21,2009-12-21
5-oclock-records,ChartRequest,http://www.chartrequest.com,Software,740000,operating,USA,NY,New York City,New York,2,2012-01-01,2012-03-29,2013-01-08
5-screens-media,5 Screens Media,http://www.5screensmedia.com/,Business Services,-,operating,,,,,2,2013-10-28,2014-06-15,2014-08-07
5-star-mobile,5 Star Mobile,http://www.5starmobiles.com/,Consumer Electronics@@Mobile Devices,180000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,2013-07-23,2014-02-20,2014-02-20
5-star-quarterback,5 Star Quarterback,http://www.5starquarterback.com,Sports,-,operating,USA,RI,Providence,Johnston,1,2011-08-01,2011-09-08,2011-09-08
5-stars-vacation-rentals,5 Stars Vacation Rentals,,Real Estate@@Travel,-,operating,USA,SC,Myrtle Beach,North Myrtle Beach,1,2014-07-12,2014-11-15,2014-11-15
50-cubes,50 Cubes,http://www.50cubes.com,Fashion@@Online Gaming@@Social Games@@Women,-,operating,USA,CA,SF Bay Area,San Francisco,1,,2012-01-01,2012-01-01
50-partners,50 Partners,http://www.50partners.fr,Finance@@Incubators@@Venture Capital,-,operating,FRA,A8,Paris,Paris,1,2012-07-01,2012-02-01,2012-02-01
500-luchadores,500 Luchadores,,Online Shopping@@Services,2013000,operating,USA,CA,SF Bay Area,Mountain View,1,,2014-01-27,2014-01-27
500friends,500Friends,http://www.500Friends.com,E-Commerce@@Enterprise Software@@Loyalty Programs@@Social Media,12900000,acquired,USA,CA,SF Bay Area,San Francisco,6,2010-01-01,2009-12-15,2013-03-12
500indies,500Indies,http://www.500indies.com,Distribution@@Film Distribution@@Marketplaces@@Media,100000,operating,,,,,1,2014-08-15,2014-09-01,2014-09-01
500px,500px,http://500px.com,Apps@@Internet@@Photography@@Promotional@@Sales and Marketing,22325000,operating,CAN,ON,Toronto,Toronto,7,2009-10-01,2011-06-03,2015-07-21
500shops,500Shops,http://500shops.com,E-Commerce@@Online Shopping@@Software,5000,operating,NGA,5,Lagos,Yaba,1,,2013-12-01,2013-12-01
51-auto,51 Auto,http://www.51auto.cn,Automotive,4500000,closed,,,,,1,,2008-06-01,2008-06-01
51-com,51.com,http://51.com,Software,27000000,operating,CHN,23,Shanghai,Shanghai,3,2005-01-01,2006-05-01,2007-07-01
51-give,51 Give,http://www.51give.org,Carbon@@Environmental Innovation@@Green@@Nonprofits,-,operating,CHN,22,Beijing,Beijing,1,2007-09-01,2008-06-10,2008-06-10
51-qiangzuo,51 Qiangzuo,http://www.51qiangzuo.com/,,-,operating,,,,,1,,2010-08-08,2010-08-08
5151tuan,5151tuan,http://www.5151tuan.com/,Real Estate,2928257,operating,CHN,,,,1,2009-01-01,2010-05-01,2010-05-01
5173-com,5173.com,http://5173.com,E-Commerce,9300000,operating,CHN,2,CHN - Other,Jinhua,3,2002-11-01,2004-03-01,2007-12-01
51credit-com,51credit.com,http://www.51credit.com,Finance,10000000,operating,CHN,22,Beijing,Beijing,2,,2006-01-01,2007-07-01
51cto,51CTO,http://www.51cto.com/,,16000000,operating,CHN,22,Beijing,Beijing,1,,2015-11-23,2015-11-23
51edj,51edj,http://www.51edj.com,E-Commerce,1158814,operating,CHN,22,Beijing,Beijing,2,,2012-03-01,2012-12-01
51edu,51edu,http://www.51edu.com/,Education,-,operating,CHN,22,Beijing,Beijing,2,2001-01-01,2006-01-01,2010-01-01
51hejia-com,51hejia.com,http://51hejia.com,Curated Web,10000000,operating,CHN,23,Shanghai,Shanghai,1,,2007-07-26,2007-07-26
51intern-com-2,51intern.com è‹±è…¾ç½‘,http://www.51intern.com,Career Management@@Human Resources@@Search@@SNS@@Social Media@@Universities,-,operating,CHN,23,Shanghai,Shanghai,1,2010-05-18,2010-11-01,2010-11-01
51talk,51Talk,http://www.51talk.com,Education,65100000,operating,CHN,22,Beijing,Beijing,4,2011-01-01,2011-12-01,2014-10-23
51tour,51tour,http://www.51tour.com/,Leisure@@Tourism@@Travel,-,operating,CHN,22,Beijing,Beijing,1,,2015-02-04,2015-02-04
51wan,51wan,http://www.51wan.com,Games,1500000,operating,CHN,22,Beijing,Beijing,2,2007-08-01,2008-04-01,2010-08-01
51wofang-无忧我房,51wofang 无忧我房,http://www.51wofang.com,,5000000,closed,,,,,1,2014-01-01,2015-07-06,2015-07-06
51yongche,51yongche,http://51yche.com,Android@@Mobile@@Software,-,operating,CHN,22,Beijing,Beijing,1,2013-12-01,2015-04-11,2015-04-11
51zhangdan,51Zhangdan,http://www.51zhangdan.com/index.html,Internet,65000000,operating,CHN,2,Hangzhou,Hangzhou,3,,2012-01-01,2015-02-05
5211game,5211game,http://www.5211game.com,Games,1000000,operating,CHN,23,Shanghai,Shanghai,1,,2009-12-01,2009-12-01
525j-com-cn,525j.com.cn,http://www.525j.com.cn,Manufacturing,-,operating,,,,,1,2003-01-01,2012-08-01,2012-08-01
52masterworks,52masterworks,https://www.52masterworks.com,Art@@Creative@@Creative Industries,234705,operating,DEU,2,Munich,Munich,3,2013-11-12,2015-05-01,2015-05-01
556-fitness,556 Fitness,,,-,operating,USA,MD,MD - Other,Waldorf,1,2009-06-15,2010-12-12,2010-12-12
55social,55social,http://55social.com,Software,3000000,operating,,,,,1,2011-07-14,2011-11-01,2011-11-01
55tuan-com,55tuan.com,http://www.55tuan.com,E-Commerce,200000000,operating,CHN,22,Beijing,Beijing,2,2010-03-15,2010-12-01,2011-07-01
56-com,56.com,http://www.56.com,Photography,30000000,acquired,CHN,30,Guangzhou,Guangzhou,2,2005-04-01,2007-06-01,2007-12-01
58-com,58.com,http://www.58.com,Curated Web@@Internet@@Software,876780000,ipo,CHN,19,CHN - Other,Chaoyang,6,2005-01-01,2006-02-01,2014-06-27
58daojia,58 Daojia,http://daojia.58.com/,Consumer Internet,300000000,operating,,,,,1,2014-09-01,2015-10-12,2015-10-12
591wed,591wed,http://591wed.com,Curated Web,10000000,operating,CHN,22,Beijing,Beijing,1,,2013-12-03,2013-12-03
59saniye,59Saniye,http://www.59saniye.com/,Video,-,operating,,,,,1,2012-01-01,2013-01-31,2013-01-31
59sec-2,59sec,https://www.59sec.com,Advertising@@Lead Management@@Sales and Marketing,27428.6215837652,closed,,,,,1,2015-08-22,2015-08-01,2015-08-01
5app,5app,http://5app.com/,Mobile@@Software@@Web Design@@Web Development,5100000,operating,GBR,H9,London,London,1,2011-01-01,2014-06-12,2014-06-12
5barz-international,5BARz International,http://www.5barz.com,Mobile@@Technology@@Wireless,6100000,ipo,USA,WA,Seattle,Seattle,2,2008-01-01,2013-11-12,2014-11-17
5by,5by,http://www.5by.com,Apps@@Photography@@Photo Sharing,-,acquired,USA,CA,SF Bay Area,San Francisco,1,2012-01-01,2013-02-28,2013-02-28
5dpnp,5DPnP,,3D@@Digital Media@@Graphics@@Printing,12500,operating,,,,,1,,2014-12-01,2014-12-01
5ensesinfood,5ensesinfood,https://www.facebook.com/pages/5ENSESINFOOD-SA/613329685364702,Food Processing@@Services,1848664,operating,,,,,1,2013-01-01,2013-01-01,2013-01-01
5gig,5gig,http://www.5gig.com,Music@@Ticketing@@Web Development,368750,operating,ESP,29,Madrid,Madrid,1,2007-12-01,2009-10-10,2009-10-10
5i-sciences,5i Sciences,http://www.5isciences.com/,Healthcare Services@@Life Sciences@@Medical,5955000,operating,USA,CA,San Diego,Rancho Santa Fe,2,,2014-08-11,2014-08-11
5k-fans,5k Fans,,Software,8000000,operating,USA,CA,Los Angeles,Los Angeles,1,,2009-06-10,2009-06-10
5m-ventures,5M Ventures,http://www.5m-ventures.com/fr,Startups,-,operating,FRA,A8,Paris,Paris,1,,2014-07-09,2014-07-09
5min,5min Media,http://www.5minmedia.com,Education@@Games@@Video,12800000,acquired,USA,NY,New York City,New York,3,2007-01-01,2007-04-01,2009-07-23
5minutes,5minutes,http://5minutes.to,Art@@Curated Web@@Photography@@Social Media,15873,operating,GBR,H9,London,London,1,2011-03-19,2012-03-19,2012-03-19
5nine-software,5nine Software,http://5nine.com,Information Technology@@Security@@Virtualization,-,operating,USA,NJ,Newark,Middletown,1,2009-01-01,2014-11-19,2014-11-19
5o9,5o9,http://www.3pmobile.com,Software,50000,operating,USA,CO,Denver,Boulder,1,2006-01-01,2013-05-14,2013-05-14
5rocks,5Rocks,http://www.5rocks.io,Games,3987693,acquired,KOR,11,Seoul,Seoul,2,2013-06-18,2010-09-01,2013-09-03
5skills,5skills,http://5skills.me,Sales and Marketing@@Social Media,30000,operating,,,,,1,,2013-01-01,2013-01-01
5th-avenue-media,5th Avenue Media,http://5thavemedia.com,Advertising@@Digital Media@@Distribution@@Social Media,250000,operating,USA,NY,New York City,New York,1,2012-07-04,2012-09-02,2012-09-02
5th-finger,5th Finger,http://www.5thFinger.com,Mobile,7000000,acquired,USA,CA,SF Bay Area,San Francisco,1,2008-01-01,2008-06-13,2008-06-13
5th-planet-games,5th Planet Games,http://5thplanetgames.com,Games@@Mobile@@Mobile Games@@Online Gaming,3000000,operating,USA,CA,Sacramento,Roseville,1,2009-01-01,2014-07-16,2014-07-16
5to1,5to1,http://www.5to1.com,Advertising@@Internet@@Internet Marketing,17129760,acquired,USA,WA,Seattle,Seattle,4,2009-01-01,2009-06-17,2010-11-10
60frames-entertainment,60Frames Entertainment,http://60frames.com/,,3500000,closed,USA,CA,Los Angeles,Beverly Hills,1,,2007-08-02,2007-08-02
60mo,60mo,http://60mo.com,Accounting@@Business Development@@Finance@@Software@@Web Development,1300000,acquired,GBR,U8,Edinburgh,Edinburgh,3,2009-06-01,2009-06-29,2011-01-19
64-pixels,64 Pixels,http://64px.com,Browser Extensions@@Curated Web@@Social Media,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2010-10-01,2010-10-01,2010-10-01
640-labs,640 Labs,http://www.640labs.com/,Software,3050000,acquired,USA,IL,Chicago,Chicago,3,2013-01-01,2014-06-20,2014-10-20
66-com,66. com,http://www.66good.com,Real Estate,-,operating,,,,,1,,2009-11-01,2009-11-01
6apt,6APT,http://www.6apt.com/,EdTech@@Education,-,operating,CHN,22,Beijing,Beijing,1,,2011-05-01,2011-05-01
6connect,6connect,http://www.6connect.net,Web Hosting,3019139,operating,USA,CA,SF Bay Area,San Francisco,2,2009-01-01,2011-08-23,2013-04-12
6cube,6Qube,http://www.6qube.com/,Information Services@@Information Technology@@Internet Marketing@@SEO,100000,operating,USA,TX,Austin,Cedar Park,1,2009-01-01,2014-10-29,2014-10-29
6d-global-technologies,6D Global Technologies,http://www.6dglobal.com,Services,11052498,ipo,USA,NY,New York City,New York,2,,2014-12-02,2015-08-20
6degrees,6degrees,http://www.get6degrees.com,Apps@@Contact Management@@Software,-,operating,SGP,,Singapore,Singapore,1,2013-06-01,2015-12-01,2015-12-01
6ep,6EP,http://6ep.co.uk/,,-,operating,GBR,H3,Leeds,Leeds,1,,2014-07-01,2014-07-01
6fusion,6fusion,http://www.6fusion.com,Enterprise Software,37143865,operating,USA,NC,Raleigh,Raleigh,5,2008-01-01,2010-08-23,2015-07-02
6n-silicon,6N Silicon,http://www.6nsilicon.com,Concentrated Solar Power@@Manufacturing@@Solar,5714285.71428571,acquired,CAN,ON,Toronto,Vaughan,1,2006-01-01,2007-07-14,2007-07-14
6px,6px,https://6px.io,Cloud Computing@@Cloud Data Services@@Developer APIs@@PaaS,-,operating,USA,CO,Denver,Boulder,1,2013-07-01,2014-03-21,2014-03-21
6renyou-com,6renyou.com,http://www.6renyou.com,Mobile,1000000,operating,CHN,22,Beijing,Beijing,2,2013-06-01,2014-01-01,2014-08-01
6rooms,6Rooms,http://www.6.cn,Photography,30500000,operating,CHN,,,,3,,2006-11-01,2012-01-01
6scan,6Scan,http://6scan.com,Security,-,operating,ISR,5,Tel Aviv,Tel Aviv,3,2011-01-01,2011-08-04,2014-02-24
6sense,6sense,http://www.6sense.com,B2B@@Predictive Analytics@@Sales and Marketing,32000000,operating,USA,CA,SF Bay Area,San Francisco,3,2013-01-01,2013-04-18,2015-02-19
6sensor-labs,6SensorLabs,http://www.6sensorlabs.com/,Health and Wellness@@Specialty Foods,8000000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-10-01,2014-09-11,2014-09-12
6sicuro-it,6sicuro.it,http://6sicuro.it,Finance,3134880,operating,ITA,9,Milan,Milan,1,,2012-03-14,2012-03-14
